id,short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club_name,club_position,club_jersey_number,club_joined,nationality,nation_position,nation_jersey_number,preferred_foot,player_traits,pace,shooting,passing,dribbling,defending,physic,pace_acceleration,pace_sprint_speed,shooting_finishing,shooting_shot_power,shooting_long_shots,shooting_positioning,shooting_penalties,passing_crossing,passing_short_passing,passing_curve,passing_fk_accuracy,passing_long_passing,passing_vision,dribbling_dribbling,dribbling_ball_control,dribbling_agility,dribbling_reactions,dribbling_balance,dribbling_composure,defending_heading_accuracy,defending_interceptions,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,physic_aggression,physic_jumping,physic_stamina,physic_strength,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
159,P. Kadeřábek,Pavel Kadeřábek,"RWB, RB, RM",78,"  12,500,000 ",29,1992-04-25,182,81,TSG Hoffenheim,RB,3,2015-07-01,Czech Republic,SUB,2,Right,Speed Dribbler (AI),74,43,73,73,72,79,78,70,28,66,41,72,54,83,74,57,52,68,72,71,77,66,81,67,76,76,70,72,71,78,78,81,83,77,10,11,14,13,7,https://cdn.sofifa.com/players/203/605/22_120.png,https://cdn.sofifa.com/teams/10029/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
160,P. Ševčík,Petr Ševčík,"CM, RM, CDM",77,"  12,000,000 ",27,1994-05-04,172,66,SK Slavia Praha,RES,23,2019-01-01,Czech Republic,SUB,13,Right,"Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",80,72,76,79,69,76,80,80,69,77,77,70,68,74,78,70,66,75,79,78,79,86,77,86,75,70,71,71,66,69,74,73,91,70,12,9,9,11,13,https://cdn.sofifa.com/players/247/030/22_120.png,https://cdn.sofifa.com/teams/266/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
161,A. Hložek,Adam Hložek,"ST, LM, RM",76,"  16,000,000 ",18,2002-07-25,188,86,AC Sparta Praha,ST,20,2019-01-01,Czech Republic,SUB,19,Right,"Long Shot Taker (AI), Technical Dribbler (AI)",78,75,71,76,31,78,79,77,75,78,73,75,66,69,72,68,64,67,75,77,77,69,76,78,74,71,23,23,32,23,70,70,76,82,11,10,9,11,10,https://cdn.sofifa.com/players/246/618/22_120.png,https://cdn.sofifa.com/teams/267/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
162,M. Vydra,Matěj Vydra,"CF, CAM, ST",74,"  4,200,000 ",29,1992-05-01,180,71,Burnley,SUB,27,2018-08-07,Czech Republic,SUB,20,Right,"Finesse Shot, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",80,74,68,75,36,67,82,78,72,77,71,78,78,65,71,73,64,63,70,74,76,79,72,77,71,63,31,40,28,34,53,76,75,67,10,11,12,13,15,https://cdn.sofifa.com/players/198/331/22_120.png,https://cdn.sofifa.com/teams/1796/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
163,D. Zima,David Zima,CB,74,"  7,500,000 ",20,2000-11-08,190,80,Torino F.C.,RES,6,2021-09-01,Czech Republic,SUB,17,Right,"Speed Dribbler (AI), Outside Foot Shot",74,38,54,62,76,76,74,74,30,61,35,27,44,36,64,51,32,61,55,60,63,65,73,58,73,67,78,80,75,75,70,64,76,80,5,12,13,10,10,https://cdn.sofifa.com/players/255/687/22_120.png,https://cdn.sofifa.com/teams/54/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
164,A. Mandous,Aleš Mandous,GK,74,"  3,200,000 ",29,1992-04-21,188,85,SK Slavia Praha,SUB,28,2021-07-12,Czech Republic,SUB,16,Right,Long Passer (AI),76,38,68,75,73,68,20,18,9,56,5,7,13,11,33,12,13,35,41,12,19,21,61,33,32,13,13,6,12,11,23,42,25,73,74,76,74,76,74,https://cdn.sofifa.com/players/263/286/22_120.png,https://cdn.sofifa.com/teams/266/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
165,J. Brabec,Jakub Brabec,CB,73,  -   ,28,1992-08-06,187,77,Real Valladolid CF,RM,10,2019-08-24,Czech Republic,SUB,4,Right,"Solid Player, Long Passer (AI)",70,51,62,64,73,77,68,72,42,67,56,52,49,54,70,39,29,70,65,59,69,68,69,68,70,69,72,72,74,74,76,72,66,83,10,12,6,16,7,https://cdn.sofifa.com/players/204/121/22_120.png,,,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
166,T. Pekhart,Tomáš Pekhart,ST,72,"  1,900,000 ",32,1989-05-26,196,89,Legia Warszawa,ST,9,2020-02-10,Czech Republic,SUB,8,Right,Power Header,50,72,53,58,33,77,48,52,73,75,65,83,69,36,67,46,34,45,59,58,68,34,76,34,73,78,28,31,27,24,56,73,72,88,12,15,16,10,16,https://cdn.sofifa.com/players/184/290/22_120.png,https://cdn.sofifa.com/teams/1871/60.png,https://cdn.sofifa.com/flags/pl.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
167,M. Krmenčík,Michael Krmenčík,ST,72,"  2,400,000 ",28,1993-03-15,190,85,SK Slavia Praha,SUB,22,2020-01-30,Czech Republic,SUB,11,Right,Power Header,68,72,59,68,27,77,60,74,75,72,65,73,67,55,67,56,53,44,64,68,72,66,68,47,66,76,23,17,25,20,78,58,58,87,7,7,9,15,13,https://cdn.sofifa.com/players/205/478/22_120.png,https://cdn.sofifa.com/teams/266/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
168,T. Koubek,Tomáš Koubek,GK,71,"  1,500,000 ",28,1992-08-26,197,95,FC Augsburg,SUB,40,2019-08-06,Czech Republic,SUB,23,Right,Comes For Crosses,57,34,60,65,79,75,39,43,12,50,17,12,20,13,14,18,16,20,39,17,20,25,70,29,54,13,11,14,12,16,31,53,33,79,76,62,67,69,75,https://cdn.sofifa.com/players/200/332/22_120.png,https://cdn.sofifa.com/teams/100409/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
169,A. Matějů,Aleš Matějů,"RB, LB",70,  -   ,25,1996-06-03,185,80,RC Strasbourg Alsace,CAM,10,2020-09-01,Czech Republic,SUB,22,Right,Early Crosser,74,49,64,68,67,69,76,73,45,56,52,58,43,68,65,63,51,63,61,67,69,70,64,71,69,59,66,69,68,66,69,67,73,68,5,11,10,13,8,https://cdn.sofifa.com/players/240/282/22_120.png,,,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
170,A. Král,Alex Král,"CDM, CM",75,"  12,000,000 ",23,1998-05-19,186,76,West Ham United,SUB,33,2018-08-27,Czech Republic,SUB,21,Right,Technical Dribbler (AI),75,70,71,75,72,79,76,75,66,76,75,68,59,68,75,65,51,72,71,75,74,76,73,77,72,72,74,72,71,69,76,78,88,76,11,13,10,11,12,https://cdn.sofifa.com/players/247/028/22_120.png,https://cdn.sofifa.com/teams/19/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
171,P. Schick,Patrik Schick,ST,79,"  23,500,000 ",25,1996-01-24,191,85,Bayer 04 Leverkusen,ST,14,2020-09-08,Czech Republic,ST,10,Left,"Injury Prone, Finesse Shot, Flair, Technical Dribbler (AI)",70,79,70,80,35,68,71,70,81,77,79,81,65,64,77,78,56,62,69,80,83,83,78,67,73,80,25,44,24,19,59,71,64,74,11,15,8,9,14,https://cdn.sofifa.com/players/234/236/22_120.png,https://cdn.sofifa.com/teams/32/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
172,L. Masopust,Lukáš Masopust,"RM, RB",76,"  7,500,000 ",28,1993-02-12,179,76,SK Slavia Praha,RM,8,2019-01-01,Czech Republic,RM,12,Right,"Long Throw-in, Flair, Speed Dribbler (AI)",88,67,69,78,64,76,89,87,70,66,61,72,61,74,72,62,59,66,64,77,77,83,75,78,70,61,64,65,65,62,75,68,83,74,7,7,6,10,10,https://cdn.sofifa.com/players/243/007/22_120.png,https://cdn.sofifa.com/teams/266/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
173,T. Souček,Tomáš Souček,"CDM, CM",82,"  36,000,000 ",26,1995-02-27,192,86,West Ham United,RDM,28,2020-07-27,Czech Republic,RDM,15,Right,"Solid Player, Power Header",64,72,74,74,82,85,61,66,73,73,70,75,70,69,81,63,53,76,72,74,77,66,81,58,78,83,83,81,82,79,76,90,92,84,11,13,5,6,8,https://cdn.sofifa.com/players/236/792/22_120.png,https://cdn.sofifa.com/teams/19/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
174,O. Čelůstka,Ondřej Čelůstka,CB,75,"  3,600,000 ",32,1989-06-18,186,80,AC Sparta Praha,SUB,3,2020-08-04,Czech Republic,RCB,3,Right,"Injury Prone, Leadership",61,53,66,65,76,79,59,62,48,59,58,64,40,69,70,62,50,69,57,63,68,60,71,61,71,75,76,76,75,75,77,79,70,84,8,13,14,15,8,https://cdn.sofifa.com/players/188/038/22_120.png,https://cdn.sofifa.com/teams/267/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
175,V. Coufal,Vladimír Coufal,"RB, RWB",80,"  19,000,000 ",28,1992-08-22,175,76,West Ham United,RB,5,2020-10-02,Czech Republic,RB,5,Right,"Long Throw-in, Solid Player, Early Crosser",77,56,73,75,78,81,76,77,50,66,59,69,49,81,75,75,42,73,69,73,76,74,78,84,72,70,76,78,81,78,86,84,86,76,13,12,12,6,13,https://cdn.sofifa.com/players/244/470/22_120.png,https://cdn.sofifa.com/teams/19/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
176,J. Jankto,Jakub Jankto,"LM, CM",74,"  5,500,000 ",25,1996-01-19,180,74,Getafe CF,LM,16,2021-08-20,Czech Republic,LM,14,Left,Speed Dribbler (AI),75,71,70,74,67,63,76,75,70,78,74,76,50,70,72,70,50,71,73,74,75,74,72,74,73,68,64,68,68,64,68,59,69,58,7,16,9,14,15,https://cdn.sofifa.com/players/226/592/22_120.png,https://cdn.sofifa.com/teams/1860/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
177,T. Holeš,Tomáš Holeš,"CDM, RB, CB",77,"  10,000,000 ",28,1993-03-31,180,73,SK Slavia Praha,LCB,3,2019-07-01,Czech Republic,LDM,9,Right,Dives Into Tackles (AI),78,69,70,73,77,82,78,78,68,72,73,75,54,71,73,63,51,73,68,71,73,75,76,81,73,76,76,76,79,79,85,82,85,79,9,10,8,13,5,https://cdn.sofifa.com/players/251/116/22_120.png,https://cdn.sofifa.com/teams/266/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
178,T. Kalas,Tomáš Kalas,"CB, RB",72,"  2,200,000 ",28,1993-05-15,184,86,Bristol City,RCB,22,2019-07-01,Czech Republic,LCB,6,Right,Dives Into Tackles (AI),71,48,54,63,71,76,70,72,38,66,57,46,53,52,66,25,18,60,48,61,64,67,70,67,72,74,72,69,71,73,70,84,74,79,8,8,9,7,7,https://cdn.sofifa.com/players/201/122/22_120.png,https://cdn.sofifa.com/teams/1919/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
179,J. Bořil,Jan Bořil,"LB, RB",76,"  6,500,000 ",30,1991-01-11,175,75,SK Slavia Praha,SUB,18,2016-01-04,Czech Republic,LB,18,Right,"Long Throw-in, Solid Player, Leadership",73,60,71,71,74,82,74,72,58,70,53,71,51,78,71,65,49,72,70,70,67,74,76,84,72,67,73,75,75,73,90,82,87,77,6,9,7,14,15,https://cdn.sofifa.com/players/204/125/22_120.png,https://cdn.sofifa.com/teams/266/60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
180,T. Vaclík,Tomáš Vaclík,GK,81,"  13,000,000 ",32,1989-03-29,188,85,Olympiacos CFP,GK,1,2021-07-14,Czech Republic,GK,1,Right,"Team Player, Rushes Out Of Goal, Comes For Crosses",78,72,70,75,73,77,42,37,14,56,16,15,13,15,17,17,16,38,68,14,20,43,78,56,60,19,23,20,18,18,29,73,38,73,83,77,74,80,84,https://cdn.sofifa.com/players/204/120/22_120.png,https://cdn.sofifa.com/teams/280/60.png,https://cdn.sofifa.com/flags/gr.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
181,A. Barák,Antonín Barák,"CF, CM",78,"  18,500,000 ",26,1994-12-03,190,86,Hellas Verona,RF,7,2021-07-06,Czech Republic,CAM,7,Left,Technical Dribbler (AI),66,76,77,79,62,72,68,64,74,81,78,78,66,73,82,70,66,76,79,81,82,68,75,59,78,68,62,59,64,60,58,55,84,73,14,15,10,12,11,https://cdn.sofifa.com/players/236/791/22_120.png,https://cdn.sofifa.com/teams/206/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1330/60.png,https://cdn.sofifa.com/flags/cz.png
182,C. Eriksen,Christian Dannemann Eriksen,"CM, CAM",82,"  29,500,000 ",29,1992-02-14,181,76,Inter,RES,24,2020-01-28,Denmark,SUB,10,Right,"Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",62,78,88,81,53,52,63,62,73,84,85,74,67,86,89,89,87,90,86,77,90,72,79,81,87,52,56,59,57,22,46,49,59,52,9,14,7,7,6,https://cdn.sofifa.com/players/190/460/22_120.png,https://cdn.sofifa.com/teams/44/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
183,Y. Poulsen,Yussuf Yurary Poulsen,ST,77,"  12,500,000 ",27,1994-06-15,192,84,RB Leipzig,SUB,9,2013-07-04,Denmark,SUB,20,Right,"Leadership, Team Player",82,70,67,74,56,81,80,84,74,73,58,81,58,68,73,70,42,53,69,75,75,69,80,54,72,85,51,53,59,32,83,83,86,78,6,11,15,14,8,https://cdn.sofifa.com/players/207/791/22_120.png,https://cdn.sofifa.com/teams/112172/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
184,J. Andersen,Joachim Christian Andersen,CB,77,"  12,500,000 ",25,1996-05-31,192,90,Crystal Palace,RCB,16,2021-07-28,Denmark,SUB,2,Right,Long Passer (AI),58,47,63,58,77,78,55,60,40,73,43,34,44,36,78,49,36,80,61,53,67,48,75,58,72,76,76,77,78,76,80,74,69,83,13,7,9,15,14,https://cdn.sofifa.com/players/224/221/22_120.png,https://cdn.sofifa.com/teams/1799/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
185,J. Larsen,Jens Stryger Larsen,RM,75,"  5,500,000 ",30,1991-02-21,180,82,Udinese Calcio,LM,19,2017-08-25,Denmark,SUB,17,Right,Solid Player,79,61,72,74,70,77,80,78,59,69,57,71,50,75,76,61,48,71,70,72,78,71,79,72,65,60,71,68,74,72,75,78,83,74,7,8,12,7,9,https://cdn.sofifa.com/players/193/133/22_120.png,https://cdn.sofifa.com/teams/55/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
186,F. Rønnow,Frederik Riis Rønnow,GK,74,"  3,000,000 ",28,1992-08-04,190,80,1. FC Union Berlin,SUB,19,2021-07-20,Denmark,SUB,22,Right,Rushes Out Of Goal,79,74,75,81,39,63,48,45,9,50,13,14,17,14,25,16,7,30,48,13,12,34,74,40,31,12,12,15,11,13,17,63,32,67,76,70,67,72,77,https://cdn.sofifa.com/players/201/269/22_120.png,https://cdn.sofifa.com/teams/1831/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
187,M. Jensen,Mathias Jensen,CM,74,"  5,500,000 ",25,1996-01-01,180,68,Brentford,SUB,8,2019-07-10,Denmark,SUB,24,Right,"Long Passer (AI), Playmaker (AI)",67,63,75,72,65,70,68,67,61,62,67,69,69,72,76,70,68,76,78,69,74,82,74,77,79,50,71,71,62,57,68,67,80,66,5,13,10,8,12,https://cdn.sofifa.com/players/229/723/22_120.png,https://cdn.sofifa.com/teams/1925/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
188,A. Cornelius,Andreas Evald Cornelius,ST,73,"  3,100,000 ",28,1993-03-16,193,91,Trabzonspor,SUB,14,2021-08-10,Denmark,SUB,21,Left,Power Header,64,73,57,64,35,80,61,67,73,79,68,75,65,42,69,45,56,51,59,64,70,49,68,62,70,80,28,40,26,13,72,74,64,92,15,9,8,11,9,https://cdn.sofifa.com/players/201/943/22_120.png,https://cdn.sofifa.com/teams/436/60.png,https://cdn.sofifa.com/flags/tr.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
189,C. Nørgaard,Christian Thers Nørgaard,"CDM, CM, CB",73,"  3,300,000 ",27,1994-03-10,187,77,Brentford,CM,6,2019-06-11,Denmark,SUB,15,Right,Power Header,62,57,68,69,73,74,61,62,55,63,57,62,60,64,73,64,64,72,64,67,72,65,70,69,72,69,74,76,72,69,72,68,76,74,11,9,13,14,11,https://cdn.sofifa.com/players/210/697/22_120.png,https://cdn.sofifa.com/teams/1925/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
190,J. Lössl,Jonas Bybjerg Lössl,GK,72,"  1,200,000 ",32,1989-02-01,195,89,FC Midtjylland,GK,1,2021-02-01,Denmark,SUB,16,Right,"Rushes Out Of Goal, Comes For Crosses",83,77,71,83,46,65,29,34,12,51,15,10,12,14,33,14,13,67,57,15,20,32,64,30,56,17,20,20,13,15,17,51,35,70,73,72,68,70,72,https://cdn.sofifa.com/players/172/553/22_120.png,https://cdn.sofifa.com/teams/1516/60.png,https://cdn.sofifa.com/flags/dk.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
191,N. Boilesen,Nicolai Møller Boilesen,"LB, CB",72,"  2,100,000 ",29,1992-02-16,186,75,F.C. København,LCB,20,2016-08-25,Denmark,SUB,26,Left,"Injury Prone, Leadership",69,51,65,69,70,67,68,70,45,65,49,67,45,69,69,61,40,65,61,68,71,69,65,71,65,66,69,71,71,69,66,80,75,63,11,15,16,9,16,https://cdn.sofifa.com/players/200/108/22_120.png,https://cdn.sofifa.com/teams/819/60.png,https://cdn.sofifa.com/flags/dk.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
192,A. Olsen,Andreas Skov Olsen,"CAM, RW",72,"  5,500,000 ",21,1999-12-29,188,75,Bologna,SUB,11,2019-07-24,Denmark,SUB,11,Left,"Finesse Shot, Speed Dribbler (AI)",81,70,67,75,35,66,80,82,68,74,71,74,68,68,68,70,62,63,68,77,76,70,64,74,68,64,24,36,34,24,62,69,65,67,13,8,7,7,11,https://cdn.sofifa.com/players/240/017/22_120.png,https://cdn.sofifa.com/teams/189/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
193,J. Wind,Jonas Older Wind,"ST, CF",72,"  4,800,000 ",22,1999-02-07,190,82,F.C. København,ST,23,2016-07-01,Denmark,SUB,19,Right,"Flair, Playmaker (AI)",71,70,67,72,35,78,68,73,70,73,66,74,76,56,71,64,65,65,73,73,74,63,71,67,72,71,34,35,29,22,64,71,77,84,7,10,10,11,9,https://cdn.sofifa.com/players/241/522/22_120.png,https://cdn.sofifa.com/teams/819/60.png,https://cdn.sofifa.com/flags/dk.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
194,K. Dolberg,Kasper Dolberg,ST,79,"  25,500,000 ",23,1997-10-06,187,84,OGC Nice,RS,9,2019-08-29,Denmark,ST,12,Right,"Finesse Shot, Power Header, Outside Foot Shot",73,81,69,77,30,68,69,76,80,86,79,81,78,50,79,76,70,60,77,78,79,72,75,64,76,74,23,28,24,19,32,73,73,79,7,15,13,9,7,https://cdn.sofifa.com/players/228/687/22_120.png,https://cdn.sofifa.com/teams/72/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
195,D. Wass,Daniel Wass,"RB, RM, CM",80,"  14,500,000 ",32,1989-05-31,181,74,Valencia CF,RCM,18,2018-07-10,Denmark,RWB,18,Right,"Solid Player, Long Shot Taker (AI)",74,77,80,77,76,76,73,75,75,85,80,76,61,79,80,78,84,81,78,76,80,73,80,71,77,69,79,76,76,75,74,68,87,73,11,9,10,13,13,https://cdn.sofifa.com/players/172/522/22_120.png,https://cdn.sofifa.com/teams/461/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
196,M. Braithwaite,Martin Braithwaite Christensen,"ST, LW",77,"  10,500,000 ",30,1991-06-05,177,73,FC Barcelona,SUB,12,2020-02-20,Denmark,RW,9,Right,"Flair, Speed Dribbler (AI)",80,76,72,79,35,74,79,80,78,77,71,78,73,68,75,71,75,65,74,78,81,81,77,70,76,67,31,35,30,26,69,81,76,75,14,13,11,7,8,https://cdn.sofifa.com/players/193/290/22_120.png,https://cdn.sofifa.com/teams/241/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
197,P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",83,"  43,500,000 ",25,1995-08-05,185,84,Tottenham Hotspur,RCM,5,2020-08-11,Denmark,RCM,23,Right,"Solid Player, Leadership, Long Shot Taker (AI)",60,71,76,76,81,82,58,61,65,84,79,65,51,66,83,70,74,80,73,76,80,65,82,64,82,65,82,84,84,72,87,65,88,78,9,7,12,11,11,https://cdn.sofifa.com/players/213/648/22_120.png,https://cdn.sofifa.com/teams/18/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
198,A. Christensen,Andreas Bødtker Christensen,CB,80,"  28,000,000 ",25,1996-04-10,187,81,Chelsea,CB,4,2013-04-10,Denmark,RCB,6,Right,Injury Prone,65,31,65,68,83,72,60,69,36,31,20,32,36,49,79,41,39,71,62,66,73,61,79,60,76,79,82,83,84,82,73,75,68,73,10,12,8,6,8,https://cdn.sofifa.com/players/213/661/22_120.png,https://cdn.sofifa.com/teams/5/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
199,J. Mæhle,Joakim Mæhle Pedersen,"RWB, RB, RM",77,"  15,000,000 ",24,1997-05-20,185,79,Atalanta,SUB,3,2021-01-04,Denmark,LWB,5,Right,Speed Dribbler (AI),89,56,68,72,66,78,86,91,50,65,62,76,33,76,73,63,25,68,65,72,75,67,74,64,70,59,63,63,72,70,73,84,90,74,12,8,12,10,8,https://cdn.sofifa.com/players/234/678/22_120.png,https://cdn.sofifa.com/teams/39/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
200,M. Damsgaard,Mikkel Krogh Damsgaard,"LM, LW",77,"  23,000,000 ",20,2000-07-03,180,71,U.C. Sampdoria,LM,38,2020-08-01,Denmark,LW,14,Right,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",85,69,72,82,48,63,90,81,71,71,72,74,47,63,74,66,82,70,77,83,80,91,70,86,74,51,45,52,46,40,64,72,74,57,6,10,14,11,7,https://cdn.sofifa.com/players/241/508/22_120.png,https://cdn.sofifa.com/teams/1837/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
201,T. Delaney,Thomas Joseph Delaney,"CDM, CM",81,"  22,000,000 ",29,1991-09-03,182,79,Sevilla FC,SUB,18,2021-08-25,Denmark,LCM,8,Left,Dives Into Tackles (AI),75,71,74,74,83,82,77,74,68,78,74,75,60,68,76,71,68,80,72,73,75,73,79,72,78,83,84,85,81,84,85,91,87,77,8,12,11,14,15,https://cdn.sofifa.com/players/193/283/22_120.png,https://cdn.sofifa.com/teams/481/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
202,J. Vestergaard,Jannik Vestergaard,CB,78,"  13,500,000 ",28,1992-08-03,199,96,Leicester City,LCB,23,2021-08-13,Denmark,LCB,3,Right,"Long Passer (AI), Power Header",32,48,62,48,79,82,30,34,34,83,47,46,59,46,70,41,52,77,60,45,58,29,75,28,72,85,78,77,80,75,85,69,66,90,16,11,11,15,10,https://cdn.sofifa.com/players/202/849/22_120.png,https://cdn.sofifa.com/teams/95/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
203,K. Schmeichel,Kasper Peter Schmeichel,GK,85,"  9,000,000 ",34,1986-11-05,189,89,Leicester City,GK,1,2011-06-01,Denmark,GK,1,Right,"Solid Player, Leadership, Team Player",79,64,77,76,75,79,45,51,12,60,14,13,26,18,44,13,15,46,59,12,40,61,82,47,67,16,20,14,14,13,35,60,34,64,84,78,80,83,90,https://cdn.sofifa.com/players/163/587/22_120.png,https://cdn.sofifa.com/teams/95/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
204,S. Kjær,Simon Thorup Kjær,CB,83,"  23,500,000 ",32,1989-03-26,190,86,AC Milan,RCB,24,2020-01-13,Denmark,CB,4,Right,"Leadership, Long Passer (AI)",67,55,64,58,85,78,63,71,55,78,41,31,61,50,76,52,69,72,55,50,70,57,79,53,69,81,85,87,85,81,82,81,65,82,6,10,13,10,15,https://cdn.sofifa.com/players/179/645/22_120.png,https://cdn.sofifa.com/teams/47/60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/1331/60.png,https://cdn.sofifa.com/flags/dk.png
